DB;Norm;Abnorm
0;0.000995405417351527;0.308318795024935
1;0.000995405417351527;0.01
2;0.000995405417351527;0.0200447202736516
3;0.000995405417351527;0.01
4;0.000995405417351527;0.0200447202736516
5;0.000995405417351527;0.01
6;0.000995405417351527;0.0200447202736516
7;0.000995405417351527;0.01
8;0.000995405417351527;0.0200447202736516
9;0.000995405417351527;0.0200447202736516
10;0.000995405417351527;0.0200447202736516
11;0.000995405417351527;0.0200447202736516
12;0.000995405417351527;0.0200447202736516
13;0.000995405417351527;0.0200447202736516
14;0.000995405417351527;0.0296483138952434
15;0.000995405417351527;0.0200447202736516
16;0.00199526231496888;0.0400866717627303
17;0.00400866717627303;0.0400866717627303
18;0.00502342589522387;0.049545019080479
19;0.00602559586074358;0.0400866717627303
20;0.009057326008982;0.049545019080479
21;0.0110407861990207;0.049545019080479
22;0.0171001531509029;0.0594292158615573
23;0.0231739464996848;0.0301300602418612
24;0.0322849412171263;0.0296483138952434
25;0.0423642966049541;0.0200447202736516
26;0.0618016400138416;0.01
27;0.07194489780037;0
28;0.0916220490122;0
29;0.101859138805412;0
30;0.115080038894444;0
31;0.124165230759241;0
32;0.103514216667934;0
33;0.0837529282126883;0
34;0.0470977326396953;0
35;0.0261216135439921;0
36;0.0110407861990207;0
37;0.00300607630262823;0
38;0.000995405417351527;0
39;0.000995405417351527;0
40;0.000995405417351527;0
